Name,Latest Chapter,Dated Released,depth,Genre,Status,Rating,img-link
Hana No Miyako De,Vol.1 Chapter 3.5 : Extra,"Jan 20,16",479,"Drama,Historical,Slice of life,Tragedy,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/35/o/9-1583481543.jpg
Kimi To Kami Hikoki To,Vol.1 Ch.12.5 : [Omake],"Jan 20,16",479,"Comedy,Romance,School life,Shounen,Slice of life",Completed,4.7,https://avt.mkklcdnv6temp.com/40/i/5-1583473477.jpg
Luo Xue Cheng Bai,Vol.2 Ch.10,"Jan 20,16",498,"Adventure,Comedy,Fantasy,Historical,Shounen ai",Completed,4.7,https://avt.mkklcdnv6temp.com/36/t/5-1583473338.jpg
Mikansei Na Karada,Vol.1 Ch.6 : Shameless Night / Between Hearts,"Jan 20,16",504,Yaoi,Completed,4.7,https://avt.mkklcdnv6temp.com/23/u/12-1583486703.jpg
Junai Junkie,Ch.5,"Jan 20,16",504,"Drama,Romance,Shoujo,Sports",Completed,4.7,https://avt.mkklcdnv6temp.com/23/m/9-1583481021.jpg
Midara Na Sasayaki,Vol.1 Ch.1,"Jan 20,16",504,"One shot,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/23/z/12-1583486710.jpg
Sanzen Sekai No Karasu Wo Koroshi,Vol.1 Ch.1,"Jan 20,16",539,"Drama,Historical,One shot,Psychological,Supernatural,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/50/b/11-1583485829.jpg
Ashizuri Suizokukan,Vol.1 Chapter 14 : Ending Theme,"Jan 20,16",541,"Adventure,Comedy,Slice of life,Supernatural",Completed,4.7,https://avt.mkklcdnv6temp.com/28/t/4-1583470872.jpg
Sheikh To Dokomade Mo,Vol.1 Ch.2 : End,"Jan 20,16",545,"Josei,One shot,Romance",Completed,4.7,https://avt.mkklcdnv6temp.com/46/r/11-1583485700.jpg
Akudama,Vol.1 Chapter 5.5,"Jan 20,16",550,Yaoi,Completed,4.7,https://avt.mkklcdnv6temp.com/46/p/8-1583479954.jpg
Tenshi No Kyuu,Ch.0 : An Angel's Hips,"Jan 20,16",566,"Adult,Ecchi,One shot,Romance,Seinen,Smut",Completed,4.7,https://avt.mkklcdnv6temp.com/34/m/11-1583485252.jpg
Tokyonin,Vol.1 Ch.4 : Chapter 4,"Jan 20,16",572,"Comedy,Romance,Shoujo ai,Slice of life,Yuri",Completed,4.7,https://avt.mkklcdnv6temp.com/24/b/5-1583472773.jpg
Kimi Ga Koi Ni Midareru,Chapter 10,"Jan 20,16",587,"Drama,Romance,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/48/f/7-1583478107.jpg
Up And Down,Ch.1,"Jan 20,16",593,"One shot,Romance,Shoujo ai",Completed,4.7,https://avt.mkklcdnv6temp.com/26/w/3-1583468734.jpg
Shiritsu Kiwamemichi Koukou,Vol.2 Chapter 41 : Enraged,"Jan 20,16",596,"Action,Comedy,Shounen",Completed,4.7,https://avt.mkklcdnv6temp.com/22/d/4-1583470588.jpg
Ore No Mono Ni Narinasai.,Vol.1 Ch.6 : I've Been Yours For A While [End],"Jan 20,16",597,"Romance,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/37/y/7-1583477702.jpg
Gekkou No Rankan Ni Kuchinashi No Nioi,Vol.1 Ch.7 : And The Rose Coloured Days,"Jan 20,16",615,"Romance,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/37/s/12-1583487245.jpg
